GameID,Name,Type,Provider,RTP,Themes,Features,Betways,Hitrate,Volatility
em:38776,The Hand of Midas™,VIDEOSLOTS,PragmaticPlay,0.9654,"[""Mythology""]","[""Buy Feature"",""Multiplier"",""Sticky Symbols"",""Wild Symbol""]",20,0.227186249,1356.359031
em:36809,Book of Myth,VIDEOSLOTS,SpadeGaming,0.965,"[""Action"",""Adventure"",""Classic""]","[""Buy Feature""]",10,0.303649058,2906.639965
em:17426,Jewel Bang,VIDEOSLOTS,Platipus,0.94,"[""Gems""]",[],10,0.184201766,2334.461477
em:48406,Fruits Mania,VIDEOSLOTS,SpadeGaming,0.9679,"[""Fruits""]","[""Clusters"",""Free Spins"",""Multiplier""]",None,0.283412944,683.4101368
em:48907,Journey to the Wild,VIDEOSLOTS,SpadeGaming,0.9655,"[""Asian""]","[""Multiplier"",""Scatter Symbol"",""Wild Symbol""]",243,0.29181447,647.6284203
em:49951,Sugar Party,VIDEOSLOTS,SpadeGaming,0.966,"[""Food""]","[""Free Spins"",""Multiplier"",""Wild Symbol""]",Cluster Pays,0.249892975,545.4124081
em:38527,Madame Destiny Megaways,VIDEOSLOTS,PragmaticPlay,0.9656,"[""Mystic""]","[""Buy Feature"",""Free Spins"",""Megaways"",""Multiplier"",""Wild Symbol""]",200704,0.235296938,1623.170567
em:37052,Guardian of Prosperity,VIDEOSLOTS,NetGaming,0.9564,[],"[""Bonus Round"",""Free Spins"",""Multiplier"",""Scatter Symbol"",""Wild Symbol""]",null,0.196373304,336.6117174
em:37519,Serengeti Wilds,VIDEOSLOTS,StakeLogic,0.9585,"[""Animals""]","[""Buy Feature"",""Free Spins"",""Gamble Feature""]",25,0.205422315,1883.172678
em:62393,Bacon Banker,VIDEOSLOTS,OneXTwoGaming,0.9609,"[""Treasure""]","[""Free Spins"",""Multiplier"",""Scatter Symbol""]",4096,0.232366171,7708.520145
em:47288,Cricket X,CRASHGAMES,SmartSoft,0.97,"[""Space""]",[],None,0.256617796,2144.429518
em:36981,Wilds Of Wall Street II,VIDEOSLOTS,RGS_Matrix,0.9566,[],"[""Buy Feature"",""Free Spins"",""Respins""]",null,0.15701052,637.3078084
em:17480,Book of Cleopatra,VIDEOSLOTS,StakeLogic,0.9621,"[""Adventure"",""Egyptian""]","[""Free Spins"",""Gamble Feature"",""Scatter Symbols"",""Wild Symbol""]",10,0.223164341,4887.773595
em:58111,Surging 7s,VIDEOSLOTS,RGS_Matrix,0.9379,"[""Fruits""]","[""Free Spins"",""Multiplier""]",40,0.146612129,4162.927919
em:60083,Sugar Supreme Powernudge™,VIDEOSLOTS,PragmaticPlay,0.9609,"[""Food""]","[""Free Spins"",""Multiplier"",""Scatter Symbol""]",None,0.218623106,1218.079589
em:58921,Book of Jones Golden Book™,VIDEOSLOTS,StakeLogic,0.9605,"[""Egyptian""]","[""Free Spins"",""Lucky Wheel"",""Wild Symbol""]",10,0.228008963,1440.939312
em:42355,Queens of Africa,VIDEOSLOTS,NetGaming,0.9593,"[""Action""]","[""Free Spins""]",15,0.187017552,596.3465518
em:51205,Joker Fortune Blitz,VIDEOSLOTS,Kalamba,0.966,"[""Joker""]","[""Free Spins"",""Multiplier"",""Wild Symbol""]",25,0.17906519,4999.806781
em:30129,Mustang Gold™,VIDEOSLOTS,PragmaticPlay,0.9554,"[""Animals""]","[""Bonus Round"",""Free Spins"",""In-game Jackpot""]",25,0.276599834,2096.905466
em:60634,Megaways Jack Frost,VIDEOSLOTS,OneXTwoGaming,0.9614,"[""Winter""]","[""Multiplier"",""Scatter Symbol"",""Wild Symbol""]",117649,0.205650867,2128.218868
em:30737,The Dog House,VIDEOSLOTS,PragmaticPlay,0.965,"[""Animals""]","[""Free Spins"",""Multiplier"",""Sticky Symbols"",""Wild Symbol""]",20,0.21638556,1667.511202
em:54835,Vegas Hot Spots,VIDEOSLOTS,OneXTwoGaming,0.9606,"[""Action""]","[""Wild Symbol""]",1024,0.162738496,1576.096824
em:33033,Machina Megaways,VIDEOSLOTS,Kalamba,0.9742,"[""Fantasy"",""Robots""]","[""Bonus Round"",""Buy Feature"",""Free Spins"",""In-game Jackpot"",""Megaways"",""Random Collectible"",""Wild Symbol""]",null,0.231733244,1740.506364
em:42802,1 Reel Fruits,VIDEOSLOTS,Spinomenal,0.9716,"[""Fruits""]","[""Wild Symbol""]",1,0.193344017,215.8123718
em:62119,Foxy Hot 20,VIDEOSLOTS,SmartSoft,0.9609,"[""Fruits""]","[""Gamble"",""Multiplier"",""Wild Symbol""]",null,0.19034485,780.4419025
em:51010,Legacy of Kong,VIDEOSLOTS,SpadeGaming,0.9642,"[""Movies""]","[""Free Spins"",""Multiplier"",""Scatter Symbol"",""Wild Symbol""]",200704,0.264802679,5537.180597
em:47675,9 Blazing Cashpots,VIDEOSLOTS,Kalamba,0.9542,"[""Classic""]","[""Buy Feature"",""Free Spins"",""In-game Jackpot""]",40,0.149178044,4130.992828
em:53081,Divine Gongs,VIDEOSLOTS,Kalamba,0.9488,"[""Asian""]",[],20,0.22346186,1289.273628
em:32430,Aviator,CRASHGAMES,Spribe,0.97,"[""Action""]","[""Bonus Round""]",None,0.226100209,4236.124085
em:36807,Mega 7,VIDEOSLOTS,SpadeGaming,0.965,"[""Asian"",""Fruits""]",[],5,0.195331369,1161.647824
em:46358,Finnegan's Banditos,VIDEOSLOTS,Kalamba,0.9675,"[""Irish""]","[""Free Spins""]",20,0.168422517,1295.991234
em:50764,Multi Joker Popwins™,VIDEOSLOTS,StakeLogic,0.962,"[""Joker""]","[""Free Spins"",""Multiplier""]",2048,0.202230483,5602.154681
em:52572,Lady Lava Minimax,VIDEOSLOTS,Kalamba,0.9691,"[""Tropical""]","[""Multiplier"",""Wild Symbol""]",20,0.171811648,4006.210174
em:41209,Zombie Party,VIDEOSLOTS,SpadeGaming,0.965,"[""Action & Arcade"",""Mystic""]",[],None,0.3877367,14003.95108
em:47821,Wolf Fang - Iron Wolf,VIDEOSLOTS,Spinomenal,0.9583,"[""Animals""]",[],30,0.243117937,813.2073284
em:36344,The Dog House Megaways™,VIDEOSLOTS,PragmaticPlay,0.9655,"[""Animals""]","[""Buy Feature"",""Free Spins"",""Megaways"",""Multiplier""]",117649,0.195723684,1117.690645
em:60800,Blood Burst,CRASHGAMES,iMoon,0.99,[],[],null,0.185825134,1754.719733
em:55968,Zeus vs Hades - Gods of War™,VIDEOSLOTS,PragmaticPlay,0.9607,"[""Mythology""]","[""Bonus Round"",""Expanding Wild Symbol""]",10,0.140004401,4501.057881
em:60129,Timber Stacks™,VIDEOSLOTS,PragmaticPlay,0.965,"[""Animals""]","[""Free Spins"",""Scatter Symbol"",""Wild Symbol""]",3125,0.176055231,876.995283
em:59212,Twilight Princess™,VIDEOSLOTS,PragmaticPlay,0.9608,"[""Fantasy""]","[""Free Spins"",""Scatter Symbol"",""Wild Symbol""]",None,0.174039537,2583.48871
em:57855,Pub Kings™,VIDEOSLOTS,PragmaticPlay,0.9608,"[""Vikings""]","[""Free Spins""]",20,0.188673982,2954.454094
em:49663,Laughing Buddha,VIDEOSLOTS,Habanero,0.9798,"[""Asian""]","[""Multiplier"",""Scatter Symbol"",""Wild Symbol""]",28,0.284697037,917.2162346
em:37299,JetX,CRASHGAMES,SmartSoft,0.97,[],"[""Gamble"",""In-game Jackpot""]",null,0.237058164,5131.020027
em:60405,Majestic Wild Buffalo,VIDEOSLOTS,Spinomenal,0.9631,"[""Animals""]","[""Free Spins"",""Wild Symbol""]",25,0.237454269,381.4411013
em:39396,O Yeah!,VIDEOSLOTS,AspectGames,0.96,[],"[""Free Spins"",""Multiplier"",""Scatter Symbol"",""Sticky Symbols"",""Wild Symbol""]",null,0.130236916,169.4134476
em:41802,Vegas Time!,VIDEOSLOTS,NetGaming,0.9519,[],"[""Stage only""]",25,0.271342059,243.7568418
em:17402,Aztec Temple,VIDEOSLOTS,Platipus,0.94,"[""Mystic"",""Treasure""]",[],15,0.307745908,1409.728933
em:45226,Sexy Vegas,VIDEOSLOTS,SpadeGaming,0.9662,"[""Las Vegas""]","[""Bonus Round"",""Expanding Wild Symbol"",""Free Spins"",""Multiplier""]",20,0.227365324,704.208439
em:35664,Dragon Gate,VIDEOSLOTS,AspectGames,0.94,[],"[""Free Spins"",""Multiplier"",""Scatter Symbol"",""Wild Symbol""]",25,0.328879634,257.8998925
em:42447,Fruit Hot Bonanza,VIDEOSLOTS,RGS_Matrix,0.9588,"[""Fruits""]","[""Scatter Symbol"",""Wild Symbol""]",5,0.135280865,1504.363524
em:31447,Nights Of Egypt,VIDEOSLOTS,Spinomenal,0.9516,"[""Egyptian"",""Ethnic""]","[""Bonus Round"",""Buy Feature"",""Wild Symbol""]",25,0.263085531,338.1765933
em:34375,The Magic Brush,VIDEOSLOTS,AspectGames,0.95,[],"[""Free Spins"",""Multiplier"",""Scatter Symbol"",""Sticky Symbols"",""Wild Symbol""]",50,0.263024602,221.1555056
em:60551,5 Frozen Charms Megaways™,VIDEOSLOTS,PragmaticPlay,0.965,"[""Christmas""]","[""Free Spins"",""Scatter Symbol"",""Wild Symbol""]",117649,0.226670581,905.371344
em:38800,Mighty Joker Arcade,VIDEOSLOTS,StakeLogic,0.95,"[""Arcade"",""Mystery""]","[""Jackpot"",""Supermeter""]",1,0.141996486,314.6200081
em:36812,Three Lucky Stars,VIDEOSLOTS,SpadeGaming,0.969,"[""Asian"",""Fantasy""]",[],1,0.152784983,590.753327
em:39639,Juicy Fruits™,VIDEOSLOTS,PragmaticPlay,0.9651,"[""Fruits""]","[""Buy Feature""]",20,0.188323021,1934.752136
em:58970,Book Of Rebirth - Extreme,VIDEOSLOTS,Spinomenal,0.9601,"[""Egyptian""]","[""Free Spins"",""In Review""]",10,0.237877437,2236.034639
em:48219,Blazing Bull: Cash Quest,VIDEOSLOTS,Kalamba,0.9685,"[""Animals""]","[""Buy Feature"",""Free Spins"",""In-game Jackpot""]",3600,0.267547795,1351.514309
em:37048,Treasures of Egypt,VIDEOSLOTS,NetGaming,0.955,[],"[""Bonus Round"",""Free Spins"",""Multiplier"",""Scatter Symbol"",""Wild Symbol""]",20,0.219505268,158.7663989
em:49165,Multi Hot 5,VIDEOSLOTS,SmartSoft,0.96,"[""Fruits""]","[""Multiplier""]",5,0.086015089,1991.775619
em:36864,Lion Gold Super Stake,VIDEOSLOTS,StakeLogic,0.9605,"[""Animals""]","[""Free Spins"",""Gamble Feature"",""Wild Symbol""]",25,0.305323543,1553.928507
em:39739,Speakeasy Boost,VIDEOSLOTS,Kalamba,0.9749,"[""Music""]","[""Bonus Round"",""Build up"",""Buy Feature"",""Free Spins"",""Multiplier"",""Random Collectible"",""Wild Symbol""]",243,0.228766365,17487.05973
em:41125,5 Lions Megaways™,VIDEOSLOTS,PragmaticPlay,0.965,[],"[""Buy Feature""]",200704,0.225377377,1202.651951
em:57349,Savannah Strike,VIDEOSLOTS,OneXTwoGaming,0.96,"[""Action""]",[],20,0.228804977,4977.466908
em:31849,John Hunter and the Tomb of the Scarab Queen™,VIDEOSLOTS,PragmaticPlay,0.955,"[""Adventure""]","[""Free Spins"",""Multiplier"",""Respins""]",25,0.286619407,662.6039832
em:58913,Rainbow Reels™,VIDEOSLOTS,PragmaticPlay,0.9607,"[""Irish""]","[""Bonus Round"",""Scatter Symbol"",""Wild Symbol""]",20,0.194425986,1356.799647
em:61968,Apex Strike Megaways,VIDEOSLOTS,OneXTwoGaming,0.9613,"[""Animals""]","[""In-game Jackpot"",""Megaways"",""Scatter Symbol"",""Wild Symbol""]",200704,0.210407967,2571.147107
em:50336,Cash Express,VIDEOSLOTS,StakeLogic,0.958,"[""Cash""]","[""Multiplier"",""Sticky Symbols""]",25,0.187977266,1291.431497
em:40161,Buffalo King Megaways™,VIDEOSLOTS,PragmaticPlay,0.9652,[],"[""Buy Feature""]",117549,0.206426363,24252.09253
em:56731,Power of Merlin Megaways™,VIDEOSLOTS,PragmaticPlay,0.9608,"[""Fantasy""]","[""Free Spins""]",117649,0.171850611,2749.018527
em:60118,Baba Yaga Tales - Mystic Fortune,VIDEOSLOTS,Spinomenal,0.9578,"[""Mystic""]","[""Free Spins"",""Respins"",""Wild Symbol""]",20,0.191218214,856.2151612
em:14544,Ho Yeah Monkey ,VIDEOSLOTS,SpadeGaming,0.971,"[""Adventure"",""History"",""Jungle""]",[],null,0.076920322,942.7545401
em:34895,Wild West Gold ™,VIDEOSLOTS,PragmaticPlay,0.9453,"[""Wild West""]","[""Buy Feature"",""Free Spins"",""Multiplier"",""Wild Symbol""]",40,0.234433457,2245.357722
em:43578,Bigger Bass Bonanza™,VIDEOSLOTS,PragmaticPlay,0.9671,"[""Fantasy"",""Fishing""]","[""Scatter Symbol""]",12,0.109083478,1175.480359
em:41039,Joker Max Gamble Feature,VIDEOSLOTS,Kalamba,0.9742,"[""Arcade"",""Joker""]","[""Bonus Round"",""Buy Feature"",""Free Spins"",""Gamble"",""In-game Jackpot"",""Multiplier"",""Random Collectible"",""Wild Symbol""]",null,0.145770261,2196.006778
em:31038,Sweet Bonanza™,VIDEOSLOTS,PragmaticPlay,0.9648,"[""Food""]","[""Buy Feature"",""Free Spins"",""Multiplier""]",None,0.310039578,16085.6272
em:17401,Legend of Atlantis,VIDEOSLOTS,Platipus,0.94,"[""Mystic"",""Mythology""]","[""Mermaids""]",20,0.198700543,558.1495128
em:56821,Spellbinding Mystery™,VIDEOSLOTS,PragmaticPlay,0.9604,"[""Fantasy""]","[""Multiplier""]",Cluster pays,0.18240371,1972.091793
em:56030,Maverick X,CRASHGAMES,OneXTwoGaming,0.97,"[""Action""]","[""Gamble""]",None,0.248333824,1830.958157
em:59783,777 - Halloween,VIDEOSLOTS,Spinomenal,0.9655,[],"[""Halloween"",""Wild Symbol""]",5,0.068406546,509.4046423
em:56367,Fruity Megaways,VIDEOSLOTS,OneXTwoGaming,0.9606,"[""Fruits""]","[""Megaways""]",117649,0.202982864,970.610127
em:39299,Joker Leprechauns,VIDEOSLOTS,Kalamba,0.9742,"[""Arcade"",""Joker""]","[""Bonus Round"",""Buy Feature"",""Free Spins"",""In-game Jackpot"",""Multiplier"",""Random Collectible"",""Wild Symbol""]",40,0.141155213,5183.842212
em:50172,Smoking Hot Fruits Wild Respin,VIDEOSLOTS,OneXTwoGaming,0.9604,"[""Fruits""]","[""Multiplier"",""Respins""]",10 (Bothway),0.175203676,1842.088744
em:45008,Blazing Goals,VIDEOSLOTS,NetGaming,0.9564,"[""Sports""]","[""Free Spins"",""Multiplier""]",243,0.187787994,970.148618
em:39023,Wild Gold,VIDEOSLOTS,RGS_Matrix,0.9615,[],"[""Expanding Wild Symbol"",""Scatter Symbol""]",10,0.129244506,461.3504344
em:47210,Golden Bear Mountain,VIDEOSLOTS,NetGaming,0.9439,"[""Animals""]","[""Buy Feature"",""Free Spins"",""Multiplier"",""Respins""]",10,0.16639418,363.8689953
em:55948,Prospector Wilds,VIDEOSLOTS,OneXTwoGaming,0.946,"[""Classic""]",[],20,0.206268604,481.9600554
em:51422,Phat Cats Megaways,VIDEOSLOTS,Kalamba,0.9634,"[""Animals""]","[""Free Spins"",""Megaways"",""Multiplier""]",200704,0.212879409,7116.363659
em:53480,Wild Wild Riches Megaways,VIDEOSLOTS,PragmaticPlay,0.9602,"[""Irish""]","[""Multiplier"",""Wild Symbol""]",117649,0.25049917,3058.634946
em:36244,Wealth Inn,VIDEOSLOTS,Habanero,0.9664,"[""Mythology""]","[""Expanding Wild Symbol""]",8,0.1333013,652.0334634
em:37522,Classic Fruits,VIDEOSLOTS,OneXTwoGaming,0.963,"[""Classic"",""Fruits""]","[""Free Spins""]",5,0.181155739,811.7884019
em:49617,Juicy Gold 100,VIDEOSLOTS,NetGaming,0.943,"[""Classic""]","[""Free Spins"",""Multiplier""]",20,0.202330874,334.9583571
em:57625,Diamond Cascade™,VIDEOSLOTS,PragmaticPlay,0.9606,"[""Gems""]","[""Free Spins""]",3888,0.197637315,4414.122891
em:39360,Mighty Tiger,VIDEOSLOTS,AspectGames,0.94,[],"[""Free Spins"",""Multiplier"",""Scatter Symbol"",""Sticky Symbols"",""Wild Symbol""]",1,0.114097441,340.8089581
em:51287,Lucky Christmas,VIDEOSLOTS,NetGaming,0.9463,"[""Christmas""]","[""Free Spins"",""Uniquie"",""Wild Symbol""]",9,0.248561118,185.5156681
em:59802,Hell Chef,VIDEOSLOTS,Kalamba,0.967,"[""Food""]","[""Free Spins"",""Wild Symbol""]",15625,0.274778434,987.1303302
em:43055,Starlight Princess™,VIDEOSLOTS,PragmaticPlay,0.965,"[""Fantasy"",""Gems""]","[""Buy Feature"",""Scatter Symbol""]",None,0.234023243,17222.85898
em:60001,Rooster Mobs™,VIDEOSLOTS,StakeLogic,0.96,"[""Action""]","[""Free Spins"",""Respins"",""Wild Symbol""]",576,0.18263724,20979.549
em:36806,Fiery Sevens,VIDEOSLOTS,SpadeGaming,0.9704,"[""Fruits""]",[],5,0.130061422,9367.720307
em:17407,Lucky Money,VIDEOSLOTS,Platipus,0.94,"[""Classic""]",[],25,0.141085288,1671.492991
em:17414,Lucky Dolphin,VIDEOSLOTS,Platipus,0.94,[],[],15,0.148903373,754.9031391
em:40110,Balloon,CRASHGAMES,SmartSoft,0.968,[],[],None,0.428735986,4088.557294
em:44354,Joker Drop™,VIDEOSLOTS,StakeLogic,0.9601,"[""Joker""]","[""Buy Feature"",""Free Spins"",""Scatter Symbol""]",1024,0.1957026,4941.830014
em:60253,Nile Fortune™,VIDEOSLOTS,PragmaticPlay,0.9603,"[""Egyptian""]","[""Free Spins"",""Multiplier"",""Scatter Symbol"",""Wild Symbol""]",20,0.234916039,1364.135312
em:60191,Chase for Glory™,VIDEOSLOTS,PragmaticPlay,0.96,"[""Action""]","[""Free Spins""]",243,0.240601174,5937.432667
em:46746,9 Gems,VIDEOSLOTS,Platipus,0.95,"[""Classic"",""Gems""]","[""Free Spins""]",5,0.202294804,658.7381795
em:38186,Poseidon's Rising,VIDEOSLOTS,Spinomenal,0.961,"[""Adventure"",""Mythology""]","[""Buy Feature"",""Expanding Wild Symbol"",""Free Spins"",""Wild Symbol""]",50,0.233564615,2758.607324
em:36497,One Million Megaways BC,VIDEOSLOTS,OneXTwoGaming,0.962,"[""Animals""]","[""Buy Feature"",""Free Spins"",""Megaways""]",null,0.241391044,4123.706789
em:61668,Crash Duel X,CRASHGAMES,SmartSoft,0.96,"[""Wild West""]","[""Gamble""]",None,0.221953188,878.7505629
em:60085,Hot Joker Fruits: Hold & Win,VIDEOSLOTS,OneXTwoGaming,0.9612,"[""Classic""]","[""Expanding Wild Symbol"",""Free Spins"",""Scatter Symbol""]",243,0.205862334,4297.754247
em:55091,Stampeding Strike,VIDEOSLOTS,OneXTwoGaming,0.95,"[""Action""]","[""Free Spins""]",40,0.210267401,5141.445904
em:39410,Hot 7 Hold & Spin,VIDEOSLOTS,StakeLogic,0.953,"[""Fruits""]","[""Expanding Wild Symbol"",""Gamble Feature"",""Hold and Spin Feature""]",5,0.058453451,1679.187742
em:34981,Fruits and 777's,VIDEOSLOTS,RGS_Matrix,0.9629,[],"[""backlog""]",null,0.094303107,354.6516268
em:60384,PiggyBank - Stacked Fortune,VIDEOSLOTS,Spinomenal,0.9583,"[""Treasure""]","[""Free Spins""]",30,0.242838632,3569.851432
em:35659,Backyard Gold,VIDEOSLOTS,AspectGames,0.94,[],"[""Free Spins"",""Multiplier"",""Scatter Symbol"",""Wild Symbol""]",50,0.280241718,457.1622561
em:46406,Lucky Koi Exclusive,VIDEOSLOTS,SpadeGaming,0.9652,"[""Animals""]","[""Bonus Round"",""Free Spins"",""Gamble"",""In-game Jackpot""]",20,0.336203708,546.8814599
em:39348,Tropical Fruitsie,VIDEOSLOTS,AspectGames,0.96,"[""Arcade""]",[],None,0.370949721,1822.726694
em:57063,Crash Royale,CRASHGAMES,iMoon,0.99,[],[],null,0.214209268,3283.675752
em:59019,Diamond Supreme Hold and Win,VIDEOSLOTS,Kalamba,0.9671,"[""Classic""]","[""Buy Feature"",""Free Spins"",""Wild Symbol""]",20,0.220301839,1392.508979
em:41132,Spinjoy Society,VIDEOSLOTS,RGS_Matrix,0.959,[],"[""Bonus Round"",""Free Spins"",""Gamble""]",15,0.199606908,244.8859302
em:15337,Wolf Gold™,VIDEOSLOTS,PragmaticPlay,0.9399,"[""Animals""]","[""Bonus Round"",""Free Spins"",""Respins"",""Wild Symbol""]",25,0.29386865,2278.331754
em:39203,7 & Hot Fruits,VIDEOSLOTS,Platipus,0.95,"[""Classic"",""Fruits""]",[],null,0.061816556,2149.204682
em:40980,Alien Hunter,VIDEOSLOTS,SpadeGaming,0.965,[],[],null,0.455341506,15009.29701
em:45475,John Daly Spin It And Win It,VIDEOSLOTS,RGS_Matrix,0.9478,"[""Sports""]","[""Bonus Round"",""Buy Feature"",""Free Spins"",""Gamble"",""Multiplier"",""Respins"",""Scatter Symbol"",""Sticky Symbols"",""Wild Symbol""]",243,0.179170268,481.871661
em:39000,Queen Of Ice,VIDEOSLOTS,Spinomenal,0.958,"[""Fantasy""]","[""Bonus Round"",""Buy Feature"",""Expanding Wild Symbol"",""Free Spins"",""Gamble"",""Wild Symbol""]",25,0.186818451,350.6235098
em:60804,Crash 1917,CRASHGAMES,iMoon,0.99,[],[],null,0.243249036,581.0016559
em:62033,Arriba Heat!,VIDEOSLOTS,OneXTwoGaming,0.9611,"[""Ethnic""]","[""Multiplier"",""Respins"",""Scatter Symbol"",""Wild Symbol""]",10,0.167030751,3513.519179
em:44949,Book of the Fallen™,VIDEOSLOTS,PragmaticPlay,0.965,"[""Action"",""Adventure""]","[""Free Spins"",""Multiplier"",""Wild Symbol""]",10,0.241587907,771.889508
em:60375,The Secret of Machu Picchu™,VIDEOSLOTS,StakeLogic,0.96,"[""Jungle""]","[""Free Spins"",""Lucky Wheel"",""Scatter Symbol"",""Wild Symbol""]",4096,0.178719093,7164.536806
em:35362,Great Rhino Megaways™,VIDEOSLOTS,PragmaticPlay,0.9446,"[""Animals""]","[""Buy Feature"",""Free Spins"",""Megaways"",""Multiplier""]",200704,0.291005682,985.0275091
em:48120,Wild Wild Bass,VIDEOSLOTS,StakeLogic,0.9601,"[""Fishing""]","[""Multiplier"",""Wild Symbol""]",2304,0.225537748,1501.383872
em:50798,Football X,CRASHGAMES,SmartSoft,0.96,"[""Sports""]",[],None,0.40664311,744.7990974
em:59753,Moji Mania,VIDEOSLOTS,SpadeGaming,0.9675,"[""Cartoon""]","[""Free Spins"",""Scatter Symbol"",""Wild Symbol""]",None,0.25766511,501.3696035
em:46624,3 Wild Jokers,VIDEOSLOTS,NetGaming,0.9469,"[""Mystic""]","[""Expanding Wild Symbol"",""Free Spins"",""Multiplier""]",5,0.191446063,1439.649711
em:35841,Book Of Demi Gods II,VIDEOSLOTS,Spinomenal,0.959,"[""Mythology""]","[""Buy Feature"",""DE low RTP"",""Free Spins"",""Wild Symbol""]",10,0.242942598,6839.688386
em:39818,Power of Thor Megaways™,VIDEOSLOTS,PragmaticPlay,0.9655,"[""Mythology""]","[""Buy Feature""]",117649,0.263672065,809.9347545
em:37055,Fruit Twister,VIDEOSLOTS,NetGaming,0.965,[],"[""Bonus Round"",""Free Spins"",""Lucky Wheel"",""Multiplier"",""Random Collectibles"",""Scatter Symbol"",""Wild Symbol""]",25,0.283426741,1352.028761
